itemname,iteminfo,itemprice
Volkswagen Touareg V8 TDI 250Kw 2011,"166,700km, RV/SUV, 4200cc diesel engine, automatic","$45,000"
Mazda Atenza 23Z 2006,"67,229km, Hatchback, 2260cc petrol engine, automatic","$11,500 "
Nissan Vanette 1996,"382,716km, Other, 1780cc petrol engine, manual","$3,300 "
Toyota Hilux Surf 1997,"237,325km, RV/SUV, 2982cc diesel engine, automatic","$11,995"
Mazda Premacy 2007,"93,220km, RV/SUV, 1998cc petrol engine, automatic","$6,500"
Subaru Impreza 2.0R Sport 2009,"143,897km, Hatchback, 1994cc petrol engine, automatic","$8,800"
Nissan Terrano R3mR 1995,"237,213km, Station Wagon, 3270cc petrol engine, automatic","$3,950 "
Nissan Navara ST 4x4 2.5 Diesel Manual 1 ONR 2010,"109,000km, Ute, 2488cc diesel engine, manual","$27,750"
Nissan Teana 2006,"90,580km, Sedan, 2349cc petrol engine, automatic","$5,700 "
BMW 320i Msport 2001,"127,712km, Sedan, 2170cc petrol engine, tiptronic","$4,700"
Honda Stream New Shape - from $39.00 weekl... 2008,"115,651km, Station Wagon, 1790cc petrol engine, automatic","$6,974"
Mercedes-Benz C 250 Avantgarde 2008,"103,000km, Station Wagon, 2496cc petrol engine, tiptronic",
Mercedes-Benz E 200 1997,"216,960km, Sedan, 1998cc petrol engine, automatic","$3,500 "
Toyota Corolla Fielder 2004,"130,000km, Station Wagon, 1794cc petrol engine, automatic","$6,500 "
Mazda Axela 20C SKYACTIVE***STEERING CONTR... 2012,"78,369km, Sedan, 2000cc petrol engine, automatic","$13,199"
Toyota Ractis 2008,"104,000km, Hatchback, 1496cc petrol engine, automatic","$4,900"
Mazda MPV **Rev Cam+NZ Radio& Maps+Bluetoo... 2006,"80,300km, Station Wagon, 2300cc petrol engine, automatic","$7,800"
Volkswagen Eos TSI 155KW 6DSG 2010,"117,305km, Convertible, 1984cc petrol engine, automatic","$15,000 "
Mazda Atenza 6 - from $52.48 weekly - Perf... 2005,"95,221km, Sedan, 2300cc petrol engine, manual","$9,974"
Toyota Camry AURION SPORTIVO SX6 NZ 2008,"230,864km, Sedan, 3456cc petrol engine, tiptronic","$6,990"
Mazda Axela 3 Sport - from $43.49 weekly -... 2008,"109,806km, Hatchback, 1500cc petrol engine, automatic","$7,974"
Toyota Hiace 2009,"396,000km, Van, 2980cc diesel engine, manual","$13,800 "
Morris Other Oxford Traveller 1958,"4,061km, Station Wagon, 1800cc petrol engine, manual","$10,000"
Hyundai i30 1.6P HATCH AUTO (NZ NEW) 2011,"72,884km, Hatchback, 1591cc petrol engine, automatic","$10,450"
Honda HR-V S *NZ NEW* 2017,"6,827km, RV/SUV, 1800cc petrol engine, automatic","$27,990"
Kia Cerato Hatch LTD 2017,"9,250km, Hatchback, 1999cc petrol engine, automatic","$28,990"
Toyota Hiace GL PACKAGE _ LONG WHEEL BASE 2009,"147,000km, Van, 2000cc petrol engine, automatic","$15,295"
Mitsubishi Outlander Ls 2006,"212,523km, RV/SUV, 2359cc petrol engine, automatic","$6,000"
Toyota Hiace 6 SEAT WITH SEAT BELTS_GL PACK 2009,"138,000km, Van, 2000cc petrol engine, automatic","$16,695"
Toyota Hiace DIESEL TURBO _ 6 SEATER 2009,"218,000km, Van, 3000cc diesel engine, automatic","$18,795"
Nissan Terrano Regulus 3.2 Diesel 1997,"336,600km, RV/SUV, 3200cc diesel engine, automatic",
Audi A3 Sportback 1.6 2006,"149,250km, Hatchback, 1600cc petrol engine, automatic",
Ford Fiesta 1.6D Manual 2013,"83,000km, Hatchback, 1600cc diesel engine, manual","$14,450 "
Subaru Legacy SPORT WAGON LOW 80KM SPECIAL!!! 2007,"80,000km, Station Wagon, 2000cc petrol engine, automatic","$9,480"
Mitsubishi Dion Van 7 Seats 2001,"155,000km, Van, 1997cc petrol engine, automatic","$3,300"
Toyota Highlander GXL - 3.5P V6 AWD 2014,"59,873km, RV/SUV, 3500cc petrol engine, automatic","$46,495 "
Holden Crewman S V6 2007,"179,000km, Ute, 3565cc petrol engine, automatic","$16,700"
Subaru Legacy 4WD manual wagon 2002,"214,000km, Station Wagon, 2000cc petrol engine, manual",
"Toyota Aqua Hybrid, 2013","92,400km, Hatchback, 1496cc hybrid engine, automatic","$10,990"
Volkswagen Amarok Dc 4M Tl 2015,"89,000km, Ute, 1968cc diesel engine, automatic","$42,000 "
Mitsubishi L300 Swb 2011,"181,880km, Van, 2351cc petrol engine, manual",
Toyota Blade HATCHBACK LOW 62KM SPECIAL! 2007,"62,800km, Hatchback, 2400cc petrol engine, automatic","$9,490"
Toyota Hiace 8 SEATER WITH 8 COMPLIED BELTS 2007,"118,000km, Van, 2000cc petrol engine, automatic","$15,995"
Mazda MPV 8 SEATER LOW 93KM SPECIAL!!! 2007,"93,500km, Station Wagon, 2300cc petrol engine, automatic","$9,890"
BMW X5 2010,"44,739km, RV/SUV, 2996cc diesel engine, automatic","$40,000 "
Toyota Hiace 1990,"427,186km, Van, petrol engine, manual",$800
Mitsubishi Outlander **Sunroof+2WD/4WD+ Pa... 2006,"69,200km, RV/SUV, 2400cc petrol engine, automatic","$14,400"
Toyota Land Cruiser Prado V6 Vx Wgn5 2002,"326,356km, RV/SUV, 3378cc petrol engine, automatic","$8,880 "
Toyota Auris 1800CC COROLLA LOW86KM PEARL! 2007,"86,788km, Hatchback, 1800cc petrol engine, automatic","$9,480"
Honda CR-V 4WD ZX LOW 83KM CAMERA ! SPECIAL ! 2006,"83,000km, RV/SUV, 2400cc petrol engine, automatic","$13,890"
Nissan Navara SL 2.3D/4WD/6MT 2017,"< 1000km, Ute, 2298cc diesel engine, manual","$51,990"
Mazda Atenza SPORT 23S GOOD LOOKING!!! 2006,"122,500km, Hatchback, 2300cc petrol engine, automatic","$8,840"
Nissan Murano **Side/Rev Camera+Sunroof+Le... 2006,"115,000km, RV/SUV, 3500cc petrol engine, automatic","$9,700"
Subaru Legacy B SPORT WAGON LOW 62KM SPECIAL! 2006,"62,500km, Station Wagon, 2000cc petrol engine, automatic","$7,980"
Toyota Hilux Sr5 Td Dc 2015,"43,000km, Ute, 2755cc diesel engine, automatic","$44,000 "
Mazda RX-8 2005,"69,019km, Coupe, 1300cc petrol engine, automatic","$6,990"
Nissan Presage 2008,"180,100km, RV/SUV, 2500cc petrol engine, automatic","$6,500 "
Honda Odyssey Prestige V6 2000,"167,909km, Station Wagon, 2990cc petrol engine, automatic","$5,200 "
MINI Cooper S 2008,"117,057km, Hatchback, 1598cc petrol engine, automatic",
Lexus CT 200h Hybrid NZ New 2013,"88,695km, Hatchback, 1800cc petrol engine, automatic","$22,950"
Toyota RAV4 Sport 4WD 2008,"83,220km, RV/SUV, 2400cc petrol engine, automatic","$17,999"
Toyota Crown Ute 1970,"77,007km, Ute, 1972cc petrol engine, manual","$40,000 "
Toyota Ractis Low millage 4.5 Grade 2005,"62,000km, Hatchback, 1490cc petrol engine, automatic",
Toyota Prius **6 Airbags+Rev Cam+Parking S... 2012,"92,200km, Sedan, 1800cc hybrid engine, automatic","$13,500"
Mitsubishi Outlander 2.4 AWD LS WAGON 2007,"169,661km, RV/SUV, 2359cc petrol engine, tiptronic","$6,990"
Ford Other Lincoln Continental Mk5 1978,"48,258km, Coupe, 7500cc petrol engine, automatic","$19,990 "
Suzuki Swift stunning alloy wheel Grade 4 car 2009,"88,000km, Hatchback, 1245cc petrol engine, automatic",
Mercedes-Benz C 250 AMG PREMIUM 2014,"43,609km, Station Wagon, 2143cc diesel engine, automatic","$52,990"
Jeep Renegade Limited 1.4P 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$34,990"
Toyota Other TUNDRA 2008,"61,133km, Ute, 4700cc petrol engine, automatic","$42,500 "
Nissan Bluebird Slyphy!! Low Kms!!!! Arriv... 2009,"44,000km, Sedan, 2000cc petrol engine, automatic","$8,450"
Suzuki Swift 2006,"151,000km, Hatchback, 1328cc petrol engine, automatic","$5,995"
Jeep Renegade Limited 1.4P 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$34,990"
Toyota Vitz FROM $ 47 A WEEK !! 1.5 !! PUS... 2010,"54,826km, Hatchback, 1496cc petrol engine, automatic","$7,995"
Jeep Renegade Limited 1.4P 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$34,990"
Jeep Renegade Limited 1.4P 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$34,990"
Ford Focus 2003,"175,600km, Hatchback, 1590cc petrol engine, automatic","$3,990"
Jeep Renegade Longitude 1.4L 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$29,990"
Jeep Renegade Longitude 1.4L 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$29,990"
Jeep Renegade Longitude 1.4L 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$29,990"
Jeep Renegade Longitude 1.4L 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$29,990"
Jeep Renegade Longitude 1.4L 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$29,990"
Jeep Renegade Limited 1.4P 2017,"< 1000km, RV/SUV, 1368cc petrol engine, automatic","$34,990"
BMW 123d 2.3L Coupe 2009,"44,500km, Coupe, 1995cc diesel engine, automatic","$22,500"
Holden Vectra CD 2004,"140,053km, Hatchback, 2198cc petrol engine, automatic","$4,990"
Subaru Legacy I Premium 2010,"184,500km, Station Wagon, 2457cc petrol engine, automatic","$10,500"
Toyota Auris 150X M Package 2007,"67,119km, Hatchback, 1500cc petrol engine, automatic","$8,180"
Holden Commodore SeriesII SV6 2011,"133,901km, Sedan, 3600cc petrol engine, automatic","$19,990"
Honda City S 2012,"26,180km, Sedan, 1497cc petrol engine, automatic",
"Nissan Fuga 350GT, Top-Specs, Black Leather* 2005","55,800km, Sedan, 3500cc petrol engine, automatic","$8,490"
Mitsubishi Diamante Super 2001,"241,526km, Sedan, 3496cc petrol engine, automatic","$1,750 "
Toyota Vista Etoile 1994,"257,054km, Sedan, 2000cc petrol engine, automatic","$1,200"
Lexus IS 200t TURBO Luxury Leather only 10ks 2015,"11,000km, Sedan, 2000cc petrol engine, automatic","$45,000 "
Mazda Axela Low Km Cam Chain! 2008,"57,196km, Hatchback, 1998cc petrol engine, automatic","$9,990"
Toyota Hilux SR5 3L TD 4wd Auto 2008,"151,000km, Ute, 2982cc diesel engine, automatic","$28,000"
Subaru Impreza S Edition 2L Awd 2016,"8,000km, Hatchback, 1995cc petrol engine, automatic","$24,600"
Ford Mustang GT Notch Back 351 1968,"13,646km, Coupe, 5700cc petrol engine, automatic","$54,990"
Mitsubishi Outlander XLS 2L 2wd 2016,"12,000km, RV/SUV, 1998cc petrol engine, automatic","$30,900"
Mazda CX-5 2.2 TD 2wd 2014,"58,000km, RV/SUV, 2200cc diesel engine, automatic","$25,800"
Mitsubishi Outlander 2.4L 4wd 2012,"70,000km, RV/SUV, 2350cc petrol engine, automatic","$18,800"
Mazda CX-9 Ltd 3.7L Awd 2015,"89,000km, RV/SUV, 3726cc petrol engine, automatic","$33,950"
Toyota Highlander GX 3.5L Awd 2016,"54,000km, RV/SUV, 3456cc petrol engine, automatic","$39,990"
Ford F150 Lightning 2000,"119,000km, Ute, 5700cc petrol engine, automatic","$35,000 "
Nissan Teana 2005,"69,500km, Sedan, 2300cc petrol engine, automatic","$12,995"
Mazda 6 NZ NEW FULL SERVICE HISTORY 2013,"86,100km, Station Wagon, 2200cc diesel engine, automatic","$20,999"
Toyota Wish X 2004,"86,500km, Van, 1790cc petrol engine, automatic","$5,750"
Subaru Impreza 15S COMFORT SELECTION 2008,"100,343km, Hatchback, 1500cc petrol engine, automatic","$5,995"
Nissan Teana 2005,"68,458km, Sedan, 2300cc petrol engine, automatic","$11,995"
Mazda Atenza 6 - from $41.25 weekly - Penr... 2005,"98,987km, Station Wagon, 1990cc petrol engine, automatic","$7,474"
Honda Fit Jazz - from $30.02 weekly - Penr... 2004,"16,000km, Hatchback, 1300cc petrol engine, automatic","$4,974"
Toyota Estima AERAS G-ED - from $30.02 wee... 2004,"141,779km, Van, 2400cc petrol engine, automatic","$4,974"
Holden Spark Ls 2017,"< 1000km, Hatchback, 1399cc petrol engine, automatic","$15,990 "
Nissan Tiida ST 2007,"125,000km, Hatchback, 1797cc petrol engine, automatic","$7,500 "
Lexus NX 200t LIMITED AWD 2.0 PETROL TURBO... 2017,"< 1000km, Station Wagon, 1998cc petrol engine, automatic","$79,990"
Toyota Caldina ZT 2 Litre Wagon 2006,"94,082km, Station Wagon, 2000cc petrol engine, automatic","$10,999"
Volvo XC60 T5 R Design 2.4Diesel NZ New 2015,"47,000km, RV/SUV, 2400cc diesel engine, automatic","$53,990"
Ford Focus 1.6 2005,"152,515km, Hatchback, 1596cc petrol engine, manual","$6,990"
Mazda 6 GLX WAGON PETROL 2016,"10,324km, Hatchback, 1998cc petrol engine, tiptronic","$32,990"
Holden Rodeo Lt Crew Pu 2005,"317,690km, Ute, 2999cc diesel engine, automatic",
Volkswagen Touareg 3.6V6 2010,"132,790km, RV/SUV, 3594cc petrol engine, automatic",
Holden Commodore SS-V Redline Utility (VF ... 2015,"15,870km, Ute, 5967cc petrol engine, automatic","$47,995"
Kia Rio LX $76pw* 2012,"29,660km, Hatchback, 1400cc petrol engine, automatic","$13,990"
Mazda CX-5 GSX 2.5 AWD SUV NZ NEW 2014,"66,486km, RV/SUV, 2500cc petrol engine, automatic","$31,990"
Toyota Fielder - from $29.59 weekly - Penr... 2006,"130,400km, Station Wagon, 1496cc petrol engine, automatic","$5,474"
Nissan Altima ST 2015,"27,500km, Sedan, 2488cc petrol engine, automatic","$21,990 "
Toyota Avensis - from $31.84 weekly - Penr... 2006,"78,900km, Sedan, 2366cc petrol engine, automatic","$5,974"
Toyota Corolla Axio Luxel 1.8L *AA Approve... 2007,"10,800km, Sedan, 1800cc petrol engine, automatic","$8,990"
Toyota Vitz OWN IT FROM $41 2004,"113,800km, Hatchback, 1496cc petrol engine, manual","$5,490"
"Nissan Pulsar NZ NEW, 1.8L Hatch 2006","188,300km, Hatchback, 1800cc petrol engine, manual","$3,990"
Toyota Corolla Gx 2013,"51,000km, Hatchback, 1798cc petrol engine, automatic","$16,990"
Hyundai Santa Fe Diesel 2.4P Tow Bar 7S 2014,"99,166km, RV/SUV, 2199cc diesel engine, automatic","$32,990"
Subaru Legacy 2005,"200,709km, Station Wagon, 1994cc petrol engine, automatic",
Nissan Caravan DIESEL - from $61.46 weekly... 2008,"158,235km, Van, 3000cc diesel engine, automatic","$11,974"
Ford Transit 12 SEATER BUS 2005,"209,781km, Van, 2500cc diesel engine, manual",
Chrysler 300 C Touring Srt8 2007,"179,000km, Station Wagon, 6100cc petrol engine, automatic",
Audi Q7 Tdi Quattro Tip 2013,"89,500km, RV/SUV, 2967cc diesel engine, automatic","$55,000"
Toyota Allion LOW KMS !! REMOTE START !! S... 2007,"59,616km, Sedan, 1797cc petrol engine, automatic","$7,995"
Toyota Prius Black 2010,"103,000km, Coupe, 1500cc petrol engine, automatic",
Mazda CX-5 2.5 AWD LTD $164pw* 2013,"83,018km, RV/SUV, 2500cc petrol engine, automatic","$30,990"
Honda Accord V6 NT 2013,"104,955km, Sedan, 3500cc petrol engine, automatic","$22,950"
BMW 325i 2005,"60,000km, Sedan, 2497cc petrol engine, automatic","$11,500"
Toyota Land Cruiser C/C Wgn3 2000,"166,844km, RV/SUV, 4164cc diesel engine, manual","$29,995 "
Lexus RX 300 Harrier 1998,"143,000km, RV/SUV, 3000cc petrol engine, automatic",
BMW 318i 318I M sport 2005,"126,778km, Sedan, 1995cc petrol engine, automatic","$6,500"
Nissan March INCLUDES 12 MONTH WARRANTY 2012,"87,250km, Hatchback, 1190cc petrol engine, automatic",
Toyota Vanguard 2008,"100,000km, RV/SUV, 2362cc petrol engine, automatic","$15,950 "
Mazda MPV 2005,"152,339km, RV/SUV, 2260cc petrol engine, automatic",
Toyota Hilux Surf 1990,"280,000km, RV/SUV, 2700cc petrol engine, automatic",
Maserati GranTurismo S-Coupe 2012,"48,000km, Coupe, 4691cc petrol engine, tiptronic","$87,000 "
Suzuki Swift Fabulous Condition 2008,"92,600km, Hatchback, 1242cc petrol engine, automatic",
Peugeot 206 2001,"165,211km, Hatchback, 1600cc petrol engine, manual",
Ford Territory Ghia 7 Seater 2010,"146,164km, RV/SUV, 3984cc petrol engine, automatic",
Volkswagen Golf Gti 2.0T 2011,"119,000km, Hatchback, 1984cc petrol engine, automatic",
Volkswagen Golf Gti 2007,"70,500km, Hatchback, 1984cc petrol engine, automatic",
Honda Logo 1997,"99,886km, Hatchback, 1300cc petrol engine, automatic",
Ford Falcon Ba Xr6t Pick Up Fa 2003,"175,000km, Ute, 3984cc petrol engine, automatic",
Ssangyong Rexton 2005,"300,000km, RV/SUV, 2700cc diesel engine, tiptronic",
Toyota FunCargo 2004,"43,824km, Station Wagon, 1298cc petrol engine, automatic",
Subaru Impreza WRX V7 STi 2001,"100,430km, Sedan, 1994cc petrol engine, manual",
Mazda 2 Sport 2005,"57,801km, Hatchback, 1498cc petrol engine, automatic",
Nissan Navara 2009,"268,294km, Ute, 2488cc diesel engine, manual",
Volkswagen Passat CC Tdi R 2012,"70,628km, Sedan, 1968cc diesel engine, automatic",
Kia Sorento R 2.2 Diesel 2WD Auto 7 Seater 2012,"88,473km, RV/SUV, 2199cc diesel engine, automatic",
Toyota Raum *1.5L*44KMS*Camera* 2008,"44,640km, Hatchback, 1500cc petrol engine, automatic",
Honda Accord 2.4S 2004,"85,799km, Sedan, 2354cc petrol engine, automatic",
BMW 328i 1998,"200,020km, Sedan, 2790cc petrol engine, tiptronic",
Suzuki Swift Suzuki swift sports 2006,"81,000km, Hatchback, 1599cc petrol engine, automatic",
Volkswagen Golf GT 2008,"121,124km, Hatchback, 1380cc petrol engine, automatic",
Subaru Legacy 2000,"184,425km, Sedan, 1998cc petrol engine, manual",
BMW 525d M Sport 2008,"77,155km, Sedan, 2993cc diesel engine, automatic",
Honda CR-V 2.4 Camchain 4WD Tow bar NZ NEW 2002,"203,229km, RV/SUV, 2354cc petrol engine, automatic","$4,750"
Nissan Note Super low km Black trim interior 2006,"36,414km, Hatchback, 1498cc petrol engine, automatic","$5,470"
Nissan Elgrand 2.5 V6 Low km 8 Seaters 2005,"75,361km, Van, 2495cc petrol engine, automatic","$8,500"
Subaru Impreza 1.5 Sport Low km 52k Alloyw... 2006,"52,754km, Hatchback, 1498cc petrol engine, automatic","$7,990"
Toyota Vitz 1.3L SMART KEY KEYLESS CURTAIN... 2008,"100,748km, Hatchback, 1300cc petrol engine, automatic","$5,990"
Nissan Teana 2006,"85,013km, Sedan, 2349cc petrol engine, automatic",
Subaru Forester 2005,"89,619km, Station Wagon, 2000cc petrol engine, automatic",
Audi A4 DTM T Quattro 2006,"160,000km, Sedan, 1984cc petrol engine, manual","$14,999"
Toyota Levin Bz-G 1996,"266,207km, Sedan, 1580cc petrol engine",
Audi RS6 V10 Twin Turbo 2008,"142,726km, Station Wagon, 4991cc petrol engine, automatic",
Subaru Legacy b4 2008,"80,942km, Sedan, 1994cc petrol engine, automatic","$8,600 "
Mazda Premacy 2008,"91,000km, Station Wagon, 1998cc petrol engine, automatic",
Mitsubishi Outlander Ls 2013,"48,000km, RV/SUV, 1998cc petrol engine, automatic","$21,000 "
Nissan Note 2006,"105,909km, Hatchback, 1498cc petrol engine, automatic","$4,000 "
Toyota Ipsum Alloys Twin Cameras 7 seats 2004,"108,000km, Van, 2400cc petrol engine, automatic","$5,970"
Honda Insight 2010,"147,744km, Hatchback, 1339cc hybrid engine, automatic","$7,900"
BMW 318ti 1.9 Camchain Leather Spoiler 1998,"171,830km, Hatchback, 1899cc petrol engine, automatic","$2,250"
Chevrolet Camaro 1970,"57,000km, Coupe, 350cc petrol engine, manual","$90,000"
Toyota Corolla NZ New low ks 2008,"105,000km, Station Wagon, 1496cc petrol engine, manual","$7,800 "
Mazda Premacy 20CS 2010,"100,015km, Station Wagon, 2000cc petrol engine, automatic","$9,990"
Cadillac Other Eldorado 1964,"80,000km, Convertible, 429cc petrol engine, automatic","$80,000"
Honda Fit New Shape Sport 2009,"82,000km, Hatchback, 1300cc petrol engine","$6,390"
Nissan Primera 2003,"151,212km, Sedan, 1769cc petrol engine, automatic","$4,150"
Nissan Teana 2005,"129,000km, Sedan, 2349cc petrol engine, automatic","$3,688"
Ford Ranger XLT 2007,"306,000km, Ute, diesel engine, manual","$12,500 "
Toyota Land Cruiser Vx Td Suv 2013,"96,970km, RV/SUV, 4461cc diesel engine, automatic","$88,900 "
Toyota Caldina 2.0 ZT 2002,"219,927km, Station Wagon, 1998cc petrol engine, automatic","$5,000 "
Volkswagen Jetta Tsi Comfortline new shape 2007,"105,000km, Sedan, 1389cc petrol engine, tiptronic","$5,430 "
Ford Falcon FG XR6 2011,"176,000km, Sedan, 4000cc petrol engine, automatic","$12,990"
Mazda Demio 2010,"40,957km, Hatchback, 1340cc petrol engine, automatic","$8,990"
Hyundai Santa Fe Crdi Suv 2009,"123,939km, RV/SUV, 2188cc diesel engine, automatic","$16,900 "
Ford Mondeo Euro 2002,"317,476km, Sedan, 1989cc petrol engine, manual","$1,450"
Ford Ranger XLT CREWCAB 2WD 3.2 TDCi 2017,"< 1000km, Ute, 3198cc diesel engine, manual","$40,995"
Suzuki Swift 1.5L Alloys 2008,"51,100km, Hatchback, 1500cc petrol engine, automatic","$7,950"
Jeep Grand Cherokee Trailhawk 3.0CRD 2017,"8,291km, RV/SUV, 2987cc diesel engine, automatic","$78,800"
Toyota Hiace T Zl 2009,"184,409km, Van, 2982cc diesel engine, manual",
Mazda 2 2012,"24,617km, Hatchback, 1498cc petrol engine, automatic","$9,999 "
Toyota Harrier 1998,"181,350km, RV/SUV, 2994cc petrol engine, automatic","$3,500 "
Mitsubishi Airtrek 2003,"228,435km, RV/SUV, 1997cc petrol engine, automatic","$3,795 "
Ford Mustang GT 5.0L Fastback 2016,"7,300km, Coupe, 4951cc petrol engine, automatic","$67,000 "
Mazda 6 Sport Ltd 2010,"148,599km, Hatchback, 2489cc petrol engine, automatic","$13,500 "
Suzuki Swift 2007,"72,130km, Hatchback, 1320cc petrol engine, automatic","$6,480"
Mazda Demio 1.5 Sport Low Km No Deposit Fi... 2008,"56,000km, Hatchback, 1490cc petrol engine, automatic","$8,990"
Nissan Wingroad 2006,"57,170km, Station Wagon, 1490cc petrol engine, automatic","$5,480"
Mercedes-Benz C 350 CDI TURBO DIESEL 2012,"99,499km, Sedan, 2987cc diesel engine, automatic","$28,990"
Audi Q7 3.0TDI 176kW Quattro S-line 2009,"61,000km, RV/SUV, 2967cc diesel engine, automatic","$52,990"
Mitsubishi Outlander 4WD SUNROOF BLUETOOTH 2007,"90,994km, Station Wagon, 2350cc petrol engine, automatic","$10,990"
Hyundai i30 Elite 2010,"132,740km, Hatchback, 1999cc petrol engine, automatic","$8,500 "
Mercedes-Benz ML 250 M-Class Ml250bluetec ... 2014,"35,500km, RV/SUV, 2143cc diesel engine, automatic","$62,990"
Mazda Atenza AA APPRAISED FACELIFT 2010,"103,100km, Station Wagon, 2000cc petrol engine, automatic","$12,500"
Ford Ranger 4WD XLT AUTO 2012,"81,413km, Ute, 3199cc diesel engine, tiptronic","$38,990"
Nissan Tiida 2006,"45,417km, Hatchback, 1490cc petrol engine, automatic","$5,980"
Toyota Fielder 2006,"95,756km, Station Wagon, 1490cc petrol engine, automatic","$5,750"
BMW 328ci 1999,"135,753km, Sedan, 2790cc petrol engine, tiptronic",
Toyota Allion A20 - LOW KM - CHEAPEST LIST... 2002,"120,312km, Sedan, 1998cc petrol engine, automatic","$4,500"
"BMW 530i Touring M, MOTOR SPORT 3.0 LTR BL... 2005","120,000km, Station Wagon, 2996cc petrol engine, automatic","$10,995"
Mazda 3 GLX 2.0 NZ NEW 2012,"75,119km, Hatchback, 2000cc petrol engine, manual","$15,999"
Holden Calais VF Series 2 2017,"2,540km, Sedan, 3600cc petrol engine, automatic","$49,999"
Suzuki Swift Sport NZ New 2013,"29,602km, Hatchback, 1600cc petrol engine, automatic","$17,999"
Nissan Fuga 350 GT - CHEAPEST ON TRADE ME 2006,"164,318km, Sedan, 3498cc petrol engine, automatic","$6,250"
Holden Captiva Sx 2012,"99,507km, RV/SUV, 2384cc petrol engine, automatic","$14,999"
BMW 740i V8*i-Drive/Cruise Control/Sunroof* 2008,"35,750km, Sedan, 4000cc petrol engine, automatic","$16,700"
Chrysler 300C *Cruise Control/Heating Seats* 2006,"69,000km, Sedan, 3500cc petrol engine, automatic","$18,990"
Mitsubishi Lancer CHEAPEST LISTED ON TRADE ME 2003,"161,607km, Sedan, 1460cc petrol engine, automatic","$3,500"
Holden HSV GTS VE-II 6.2L LS3 BIG CAM 2012,"26,856km, Sedan, 6162cc petrol engine, automatic","$63,990"
Toyota Corolla Carib Station Wagon 4WD 1996,"113,000km, Station Wagon, 1600cc petrol engine, automatic","$3,800"
BMW 530i LCI*i-Drive/Cruise Control/Heatin... 2008,"71,377km, Sedan, 3000cc petrol engine, automatic","$14,700"
Toyota Hilux 3.0TD 2WD DC 5M 2010,"200,500km, Ute, 2982cc diesel engine","$17,995"
Land Rover Range Rover Sport HST 2016,"16,600km, RV/SUV, 2995cc petrol engine, tiptronic","$139,000"
Audi A3 1.8T SPORT BACK 2010,"71,000km, Hatchback, 1800cc petrol engine, tiptronic","$13,990"
Mazda Atenza 20S*Skyactive*New Shape* 2013,"102,944km, Sedan, 2000cc petrol engine, automatic","$15,990"
Nissan Murano 350XV*Heating Seats/Rev Camera* 2006,"93,410km, RV/SUV, 3500cc petrol engine, automatic","$9,450"
